row,status,family,peated_bottle_id,title_en,title_ja,brand,distillers,bottler,series,name,edition,category,statedAge,noAgeStatement,abv,singleCask,caskStrength,naturalColor,nonChillFiltered,maltPhenolPpm,vintageYear,bottlingYear,releaseYear,releaseMonth,releaseDay,maturation,caskNumber,outturn,market,sizes,evidence_url,evidence_note,image_source_url,image_license,notes
11,created,Annual Limited Edition,B57466,SINGLE MALT KANOSUKE 2023 LIMITED EDITION,シングルモルト嘉之助 2023 LIMITED EDITION,Kanosuke (E1097),Kanosuke (E1097),,Limited Edition (S938),Single Malt,2023 Limited Edition,single_malt,,true,59,false,true,,,,,2023,2023,6,14,"Peated malt; mainly re-charred ex-shochu casks and sherry casks, vatted from several casks",,,Japan; US; UK,700ml,https://kanosuke.com/products/singlemaltkanosuke2023-limited,"Producer page: 59%, 700ml, peated malt distilled 2018-2019. On sale 2023-06-14 (old-site news 2023.05.26 on Wayback, 'LIMITED EDITION 第4弾'). The old products index said mainly bourbon casks; the special page and current page say re-charred ex-shochu and sherry casks (used).",https://kanosuke.com/en/products/single-malt-kanosuke-2023-limited-edition-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
12,created,Annual Limited Edition,B57467,KANOSUKE HIOKI POT STILL 2024 LIMITED EDITION,嘉之助 HIOKI POT STILL 2024 LIMITED EDITION,Kanosuke (E1097),Hioki Distillery (E367028),,Limited Edition (S938),Hioki Pot Still,2024 Limited Edition,single_pot_still,,true,55,false,,,,,,2024,2024,10,11,"Vatting of new American white oak, ex-bourbon and re-charred ex-shochu casks",,,Japan; JAL in-flight Feb-Mar 2025,700ml,https://kanosuke.com/products/hiokipotstill2024-limited,"Producer page: 55%, 700ml, 16,500 yen. Release 2024-10-11 from en.jpwhisky.net/new-hioki-limited2024-2-46396/.",https://kanosuke.com/en/products/kanosuke-hioki-pot-still-2024-limited-edition-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,Same category decision as Hioki Pot Still core.
13,created,Annual Limited Edition,B57468,KANOSUKE DOUBLE DISTILLERY 2025 LIMITED EDITION,嘉之助 DOUBLE DISTILLERY 2025 LIMITED EDITION,Kanosuke (E1097),Kanosuke (E1097); Hioki Distillery (E367028),,Limited Edition (S938),Double Distillery,2025 Limited Edition,blend,,true,59,false,,,,,,2025,2025,9,25,Hioki pot still whisky from re-charred ex-shochu casks; single malt from ex-sherry casks finished in re-charred ex-shochu casks (double cask); small amount of rum-cask whisky,,,Japan,700ml,https://kanosuke.com/blogs/news/20250805,"Producer news: release 2025-09-25, 700ml, 59%, 18,700 yen; lottery 2025-08-19 to 08-25.",https://kanosuke.com/en/products/doubledistillery2025-limited-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
14,created,Annual Limited Edition,B57469,KANOSUKE SINGLE MALT 2026 LIMITED EDITION,嘉之助シングルモルト 2026 LIMITED EDITION,Kanosuke (E1097),Kanosuke (E1097),,Limited Edition (S938),Single Malt,2026 Limited Edition,single_malt,,true,57,false,,,,,,,2026,2,25,Ex-bourbon cask whisky finished in apple brandy casks and re-charred ex-shochu cask whisky finished in white wine casks as key malts; several sherry-cask whiskies; small amount of peated whisky,,,Japan,700ml,https://kanosuke.com/blogs/news/20251210,"Producer news: release 2026-02-25, 700ml, 57%, 14,850 yen; lottery 2026-01-23 to 01-31.",https://kanosuke.com/en/products/singlemalt2026-limited-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
15,created,Artist Edition,B57470,SINGLE MALT KANOSUKE Artist Edition #001,シングルモルト嘉之助 Artist Edition #001 木,Kanosuke (E1097),Kanosuke (E1097),,Artist Edition (S939),Artist Edition,#001,single_malt,,true,50,false,,,,,2019,2022,2022,3,28,Unpeated UK malt matured 3+ years in re-charred American white oak casks,,,Japan (Kura no Shikon contract retailers),700ml,https://www.nomunication.jp/2022/03/07/march-2022-bottles-far-east-of-peat-gaiaflow-blended-m-chichibu-the-peated-2022-kanosuke-artist-edition/,"Dated announcement (release 2022-03-28, 50%); en.jpwhisky.net/kanosuke-artist-edition1-2-16335/ review (2019 distillation). Artist Mariko Hirasawa. No producer page survives; check Wayback news.",https://whisky-nights.com/kanosuke-artist-edition-001/,whisky-nights.com: no reuse without permission; not downloaded,
16,updated,Artist Edition,B52333,SINGLE MALT KANOSUKE Artist Edition #002,シングルモルト嘉之助 Artist Edition #002 火,Kanosuke (E1097),Kanosuke (E1097),,Artist Edition (S939),Artist Edition,#002,single_malt,,true,50,false,,,,,2019,2023,2023,3,15,Unpeated malt matured 3+ years in Pedro Ximénez sherry butts,,,Japan (Kura no Shikon contract retailers); export,700ml,https://en.jpwhisky.net/kanosuke-artist-edition2-2-25679/,"Review with spec (2019 distillation, PX, 50%); whiskyfun.com Nov 2023 '3 yo 2019/2023 (50%, OB, Artist Edition #002, PX sherry butt)'; 88bamboo news (release 2023-03-15). Artist Yuna Yagi.",https://whisky-nights.com/kanosuke-artist-edition-002/,whisky-nights.com: no reuse without permission; not downloaded,"Current record says 2018 vintage and statedAge 3: two independent sources give 2019; label carries no age statement, so statedAge -> null. Distillers E1775 -> E1097."
17,created,Artist Edition,B57471,SINGLE MALT KANOSUKE Artist Edition #003,シングルモルト嘉之助 Artist Edition #003 土,Kanosuke (E1097),Kanosuke (E1097),,Artist Edition (S939),Artist Edition,#003,single_malt,,true,50,false,,,,,,2024,2024,6,18,"Ex-bourbon, red wine, re-charred and sherry casks, finished in ex-Amami kokuto shochu casks; includes some peated malt",,,Japan; export,700ml,https://en.jpwhisky.net/kanosuke-artist-edition3-2-43040/,Review with spec; release date 2024-06-18 from search snippet only (confirm on Wayback producer news).,https://whisky-nights.com/kanosuke-artist-edition-003/,whisky-nights.com: no reuse without permission; not downloaded,
18,created,Artist Edition,B57472,KANOSUKE SINGLE MALT Artist Edition #004,嘉之助シングルモルト Artist Edition #004 金,Kanosuke (E1097),Kanosuke (E1097),,Artist Edition (S939),Artist Edition,#004,single_malt,,true,50,false,,,,,,2025,2025,6,18,"Unpeated whiskies from all three pot stills, including triple-distilled ex-bourbon barrel whisky and Islay casks matured in Hioki",,,Japan (specialist retailers),700ml,https://kanosuke.com/blogs/news/artist-edition-04,"Producer news: release 2025-06-18, 700ml, 50%, 16,500 yen. Artist Keiko Yuasa.",https://kanosuke.com/en/products/artist-edition-004,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
19,created,Artist Edition,B57473,KANOSUKE SINGLE MALT Artist Edition #005,嘉之助シングルモルト Artist Edition #005 水,Kanosuke (E1097),Kanosuke (E1097),,Artist Edition (S939),Artist Edition,#005,single_malt,,true,50,false,,,true,,,2026,2026,6,10,"Three Mizunara-cask whiskies as key malts, vatted with unpeated and peated whiskies; slow dilution",,,Japan (specialist retailers),700ml,https://kanosuke.com/blogs/news/20260423,"Producer news: release 2026-06-10, 700ml, 50%, 16,500 yen. Artist Alexander Kori Girard; final release.",https://kanosuke.com/en/products/artist-edition-005,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
20,created,Distillery Exclusive,B57474,SINGLE MALT KANOSUKE DISTILLERY EXCLUSIVE #001,シングルモルト嘉之助 蒸溜所限定ボトル #001,Kanosuke (E1097),Kanosuke (E1097),,Distillery Exclusive (S940),Distillery Exclusive,#001,single_malt,,true,55,true,true,,,,2018,2021,2021,8,26,"Unpeated UK malt; re-charred American white oak ex-shochu cask 24 months, then a W-IPA (Double IPA) cask from RISE & WIN Brewing Co. for 14 months",20049,1406,Distillery shop and Kanosuke web shop only,200ml,https://web.archive.org/web/20250213025016id_/https://kanosuke.com/special/distillery_exclusive/,"Producer spec page (Wayback capture of kanosuke.com/special/distillery_exclusive/, 2025-02-13): cask no., malt, still, distillation and bottling month, cask text, outturn for #001-#010. Announced 2021-08-26 (old-site news 2021). TWSC 2022 Gold. The 'Modern Malt Whisky Market 2021 IPA cask finish cask 20049' listing is this cask.",,,"200ml distillery-only bottle, hand-numbered. Package size does not change identity."
21,created,Distillery Exclusive,B57475,SINGLE MALT KANOSUKE DISTILLERY EXCLUSIVE #002,シングルモルト嘉之助 蒸溜所限定ボトル #002,Kanosuke (E1097),Kanosuke (E1097),,Distillery Exclusive (S940),Distillery Exclusive,#002,single_malt,,true,55,true,true,,,,2018,2022,2022,1,21,"Unpeated UK malt; ex-bourbon barrel about 1.5 years, then a Calvados cask 2 years",19477,1099,Distillery shop and Kanosuke web shop only,200ml,https://web.archive.org/web/20250213025016id_/https://kanosuke.com/special/distillery_exclusive/,"Producer spec page (Wayback capture of kanosuke.com/special/distillery_exclusive/, 2025-02-13): cask no., malt, still, distillation and bottling month, cask text, outturn for #001-#010. Announced 2022-01-21; distilled Jun 2018, bottled Jan 2022.",,,"200ml distillery-only bottle, hand-numbered. Package size does not change identity."
22,created,Distillery Exclusive,B57476,SINGLE MALT KANOSUKE DISTILLERY EXCLUSIVE #003,シングルモルト嘉之助 蒸溜所限定ボトル #003,Kanosuke (E1097),Kanosuke (E1097),,Distillery Exclusive (S940),Distillery Exclusive,#003,single_malt,,true,55,true,true,,,,2018,2022,2022,,,"Unpeated UK malt; re-charred cask 1 year, then a French Bordeaux red wine cask nearly 3 years",19248,988,Distillery shop and Kanosuke web shop only,200ml,https://web.archive.org/web/20250213025016id_/https://kanosuke.com/special/distillery_exclusive/,"Producer spec page (Wayback capture of kanosuke.com/special/distillery_exclusive/, 2025-02-13): cask no., malt, still, distillation and bottling month, cask text, outturn for #001-#010. Distilled May 2018, bottled Apr 2022; no announcement post found (between Jan and Jul 2022). 88bamboo quoted 57 percent; the producer's products index lists the series at 55 percent: ABV conflict, stored as 55 per producer, flagged.",,,"200ml distillery-only bottle, hand-numbered. Package size does not change identity."
23,created,Distillery Exclusive,B57477,SINGLE MALT KANOSUKE DISTILLERY EXCLUSIVE #004,シングルモルト嘉之助 蒸溜所限定ボトル #004,Kanosuke (E1097),Kanosuke (E1097),,Distillery Exclusive (S940),Distillery Exclusive,#004,single_malt,,true,55,false,true,,,,2018,2022,2022,7,22,"Unpeated UK malt; re-charred American white oak cask 3 years, then a second-fill ex-bourbon barrel 1 year","20464, 20465",1910,Distillery shop and Kanosuke web shop only,200ml,https://web.archive.org/web/20250213025016id_/https://kanosuke.com/special/distillery_exclusive/,"Producer spec page (Wayback capture of kanosuke.com/special/distillery_exclusive/, 2025-02-13): cask no., malt, still, distillation and bottling month, cask text, outturn for #001-#010. Two casks. Distilled Feb 2018, bottled Jul 2022; announced 2022-07-22.",,,"200ml distillery-only bottle, hand-numbered. Package size does not change identity."
24,created,Distillery Exclusive,B57478,SINGLE MALT KANOSUKE DISTILLERY EXCLUSIVE #005,シングルモルト嘉之助 蒸溜所限定ボトル #005,Kanosuke (E1097),Kanosuke (E1097),,Distillery Exclusive (S940),Distillery Exclusive,#005,single_malt,,true,55,true,true,,,,2018,2022,2022,,,"Unpeated UK malt; ex-bourbon barrel 33 months, then a Cognac cask 14 months",21495,2164,Distillery shop and Kanosuke web shop only,200ml,https://web.archive.org/web/20250213025016id_/https://kanosuke.com/special/distillery_exclusive/,"Producer spec page (Wayback capture of kanosuke.com/special/distillery_exclusive/, 2025-02-13): cask no., malt, still, distillation and bottling month, cask text, outturn for #001-#010. Distilled Oct 2018, bottled Oct 2022. The dekanta listing 'Kanosuke Limited Cask #21495' is this bottle.",,,"200ml distillery-only bottle, hand-numbered. Package size does not change identity."
25,created,Distillery Exclusive,B57479,SINGLE MALT KANOSUKE DISTILLERY EXCLUSIVE #006,シングルモルト嘉之助 蒸溜所限定ボトル #006,Kanosuke (E1097),Kanosuke (E1097),,Distillery Exclusive (S940),Distillery Exclusive,#006,single_malt,,true,55,true,true,,,,2018,2023,2023,2,20,Unpeated UK malt; Manzanilla sherry butt 55 months,18117,1982,Distillery shop and Kanosuke web shop only,200ml,https://web.archive.org/web/20250213025016id_/https://kanosuke.com/special/distillery_exclusive/,"Producer spec page (Wayback capture of kanosuke.com/special/distillery_exclusive/, 2025-02-13): cask no., malt, still, distillation and bottling month, cask text, outturn for #001-#010. Distilled Jun 2018, bottled Jan 2023; announced 2023-02-20 (web lottery 2023-03-30 to 04-03 per jpwhisky).",,,"200ml distillery-only bottle, hand-numbered. Package size does not change identity."
26,created,Distillery Exclusive,B57480,SINGLE MALT KANOSUKE DISTILLERY EXCLUSIVE #007,シングルモルト嘉之助 蒸溜所限定ボトル #007,Kanosuke (E1097),Kanosuke (E1097),,Distillery Exclusive (S940),Distillery Exclusive,#007,single_malt,,true,55,true,true,,,,2018,2023,2023,,,"UK malt; American white oak cask 21 months, then an ex-bourbon cask 31 months",20458,814,Distillery shop and Kanosuke web shop only,200ml,https://web.archive.org/web/20250213025016id_/https://kanosuke.com/special/distillery_exclusive/,"Producer spec page (Wayback capture of kanosuke.com/special/distillery_exclusive/, 2025-02-13): cask no., malt, still, distillation and bottling month, cask text, outturn for #001-#010. Distilled Sep 2018, bottled Jul 2023; no announcement post found.",,,"200ml distillery-only bottle, hand-numbered. Package size does not change identity."
27,created,Distillery Exclusive,B57481,SINGLE MALT KANOSUKE DISTILLERY EXCLUSIVE #008,シングルモルト嘉之助 蒸溜所限定ボトル #008,Kanosuke (E1097),Kanosuke (E1097),,Distillery Exclusive (S940),Distillery Exclusive,#008,single_malt,,true,55,true,true,,,,2019,2023,2023,10,17,UK malt; new American white oak cask 43 months,20029,1976,Distillery shop and Kanosuke web shop only,200ml,https://web.archive.org/web/20250213025016id_/https://kanosuke.com/special/distillery_exclusive/,"Producer spec page (Wayback capture of kanosuke.com/special/distillery_exclusive/, 2025-02-13): cask no., malt, still, distillation and bottling month, cask text, outturn for #001-#010. Distilled Dec 2019, bottled Sep 2023; web lottery 2023-10-17 to 10-19. A Yahoo seller title says 62 percent; the producer's 55 percent is used.",,,"200ml distillery-only bottle, hand-numbered. Package size does not change identity."
28,created,Distillery Exclusive,B57482,SINGLE MALT KANOSUKE DISTILLERY EXCLUSIVE #009,シングルモルト嘉之助 蒸溜所限定ボトル #009,Kanosuke (E1097),Kanosuke (E1097),,Distillery Exclusive (S940),Distillery Exclusive,#009,single_malt,,true,55,false,true,,,,2019,2023,2024,2,16,"Unpeated UK malt; re-charred ex-Mellowed Kozuru shochu cask 44 months, then a French Bordeaux red wine cask about 10 months","22341, 22434",2285,Distillery shop and Kanosuke web shop only,200ml,https://web.archive.org/web/20250213025016id_/https://kanosuke.com/special/distillery_exclusive/,"Producer spec page (Wayback capture of kanosuke.com/special/distillery_exclusive/, 2025-02-13): cask no., malt, still, distillation and bottling month, cask text, outturn for #001-#010. Two casks. Distilled Apr 2019, bottled Nov 2023; web lottery 2024-02-09 to 02-26. whiskeypoints.com wrote 22431/22434.",,,"200ml distillery-only bottle, hand-numbered. Package size does not change identity."
29,created,Distillery Exclusive,B57483,SINGLE MALT KANOSUKE DISTILLERY EXCLUSIVE #010,シングルモルト嘉之助 蒸溜所限定ボトル #010,Kanosuke (E1097),Kanosuke (E1097),,Distillery Exclusive (S940),Distillery Exclusive,#010,single_malt,,true,55,true,true,,,,2020,2024,2024,5,,"Heavily re-charred ex-shochu cask, 45 months; unpeated UK malt",20340,2085,Distillery shop; kanosuke.com,200ml,https://kanosuke.com/products/distillery_exclusive-010,"Producer page: 200ml, 55%, DETAIL block (distilled Jul 2020, bottled Apr 2024). Cask 20340 and 2,085 bottles from whisky-nights.com product page (retailer). WWA 2025 single cask winner per producer news 25-02-12.",https://kanosuke.com/en/products/single-malt-kanosuke-distillery-exclusive-010-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,"200ml distillery-only bottle, hand-numbered. Package size does not change identity. Producer spec page (Wayback, see #001-#009) confirms cask 20340, 2,085 bottles; on sale from May 2024, web lottery 2024-05-21 to 05-27."
30,created,Component Series,B57484,KANOSUKE Component Series EX-BOURBON CASK,＜蒸溜所限定＞嘉之助 Component Series EX-BOURBON CASK,Kanosuke (E1097),Kanosuke (E1097),,Component Series (S941),Component Series,Ex-Bourbon Cask,single_malt,,true,50,false,,,,,,,2024,8,,Matured in ex-bourbon casks,,,Distillery shop only,200ml,https://kanosuke.com/en/products/kanosuke-component-series-ex-bourbon-cask-en,"Producer page: 200ml, 50%, 4,180 yen. On sale at the distillery shop from 2024-08-12 per the old special page (Wayback capture of kanosuke.com/special/component-series/); the old products index says 08-11, so only the month is stored.",https://kanosuke.com/en/products/kanosuke-component-series-ex-bourbon-cask-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
31,created,Component Series,B57485,KANOSUKE Component Series EX-SHERRY CASK,＜蒸溜所限定＞嘉之助 Component Series EX-SHERRY CASK,Kanosuke (E1097),Kanosuke (E1097),,Component Series (S941),Component Series,Ex-Sherry Cask,single_malt,,true,50,false,,,,,,,2024,8,,Matured in ex-sherry casks,,,Distillery shop only,200ml,https://kanosuke.com/en/products/kanosuke-component-series-ex-sherry-cask-en,"Producer page: 200ml, 50%, 4,620 yen. On sale at the distillery shop from 2024-08-12 per the old special page (Wayback capture of kanosuke.com/special/component-series/); the old products index says 08-11, so only the month is stored.",https://kanosuke.com/en/products/kanosuke-component-series-ex-sherry-cask-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
32,created,Component Series,B57486,KANOSUKE Component Series RE-CHARRED EX-SHOCHU CASK,＜蒸溜所限定＞嘉之助 Component Series RE-CHARRED EX-SHOCHU CASK,Kanosuke (E1097),Kanosuke (E1097),,Component Series (S941),Component Series,Re-charred Ex-Shochu Cask,single_malt,,true,50,false,,,,,,,2024,8,,Matured in re-charred ex-shochu casks,,,Distillery shop only,200ml,https://kanosuke.com/en/products/kanosuke-component-series-re-charred-ex-shochu-cask-en,"Producer page: 200ml, 50%, 4,400 yen. On sale at the distillery shop from 2024-08-12 per the old special page (Wayback capture of kanosuke.com/special/component-series/); the old products index says 08-11, so only the month is stored.",https://kanosuke.com/en/products/kanosuke-component-series-re-charred-ex-shochu-cask-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
33,created,Component Series,B57487,KANOSUKE Component Series PEATED,＜蒸溜所限定＞嘉之助 Component Series PEATED,Kanosuke (E1097),Kanosuke (E1097),,Component Series (S941),Component Series,Peated,single_malt,,true,50,false,,,,,,,2026,1,,,,,Distillery shop only,200ml,https://kanosuke.com/en/products/component-series_peated-en,"Producer page: 200ml, 50%, 4,620 yen; product published 2026-01-05. No news post found; month is the page publication month (weak).",https://kanosuke.com/en/products/component-series_peated-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
34,created,Mellow Bar Reserve,B57488,KANOSUKE SINGLE MALT The Mellow Bar Reserve,嘉之助 SINGLE MALT The Mellow Bar Reserve,Kanosuke (E1097),Kanosuke (E1097),,The Mellow Bar Reserve (S942),Single Malt,The Mellow Bar Reserve,single_malt,,true,55,false,,,true,,,,2024,11,,"Key malt from re-charred American white oak ex-Mellowed Kozuru casks with Mizunara, sherry and other casks",,,Japan airport duty-free only,700ml,https://kanosuke.com/en/products/single-malt-kanosuke-the-mellow-bar-reserve-en,"Producer page: 700ml, 55%, duty-free price. On sale from mid-November 2024 (old-site news 2024.11.29 and special page kanosuke.com/special/themellowbarreserve/ on Wayback: '2024年11月中旬より順次発売'). Duty-free prices were cut in 2025.",https://kanosuke.com/en/products/single-malt-kanosuke-the-mellow-bar-reserve-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
